Gene_Name,Gene_symbol,Human_entrez,Rat_entrez,Mouse_entrez,Synonym,DbTF,PMID,Uniprot_Human,Uniprot_Rat,Uniprot_mouse
ESR2,estrogen receptor 2 (ER beta),2100,25149,13983,ER-BETA|ESR-BETA|ESRB|ESTRB|ERB|NR3A2,yes,"9058381, 12047722, 16484337","Q92731,F1D8N3,Q7LCB3",Q62986,O08537
ESRRA,estrogen-related receptor alpha,2101,293701,26379,ERR1|ERRA|ERRALPHA|ESRL1|NR3B1,yes,9271417,"P11474,Q569H8",Q5QJV7,O08580
ESRRB,estrogen-related receptor beta,2103,299210,26380,DFNB35|ERR2|ERRB|ESRL2|NR3B2,yes,"8626619, 15766247",O95718,P11475,"G5E8P8,Q80VS1,E9QKA2,Q8CCV5,Q61539"
ESRRG,estrogen-related receptor gamma,2104,360896,26381,ERR3|ERRGAMMA|NR3B3,yes,15149736,"F8W8J3,B7Z5E9,F1D8R6,F1D8R5,P62508,C0SQ93,B3KY84,E9PGB7",P62510,P62509
ESX1,ESX homeobox 1,80712,0,13984,ESX1L|ESXR1,yes,10611245,Q8N693,,O88933
ETS1,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),2113,24356,23871,ETS-1|EWSR2,yes,12119294,"F5GYX9,P14921,A8K725,B4DW78",P41156,"Q8BVW8,Q540Q5,E9PWI8,P27577,Q8K3Q9"
ETS2,v-ets erythroblastosis virus E26 oncogene homolog 2 (avian),2114,304063,23872,ETS2IT1,yes,12637547,P15036,D4AAH4,"Q3UP99,P15037"
ETV1,ets variant 1,2115,362733,14009,ER81,yes,12750007,"P50549,F5GXR2,E9PHB1,B7Z618,B7Z2C9","F1LU59,B5DEZ2","Q549J8,Q8CCR6,P41164"
ETV2,ets variant 2,2116,361544,14008,ER71|ETSRP71,yes,"16619273, 1340465",B3KUL0,D3ZEY9,P41163
ETV3,ets variant 3,2117,295297,27049,METS|PE-1|PE1|BA110J1.4,yes,12007404,P41162,G3V813,Q8R4Z4
ETV4,ets variant 4,2118,360635,18612,E1A-F|E1AF|PEA3|PEAS3,yes,15466854,"B7Z9J6,B7Z5J3,P43268",,Q3UMZ6
ETV5,ets variant 5,2119,303828,104156,ERM,yes,"15138262, 15466854, 15857832",P41161,D4AC56,Q9CXC9
ETV6,ets variant 6,2120,312777,14011,TEL|TEL/ABL,yes,10514502,P41212,Q3KRD1,"Q80WR3,P97360"
ETV7,ets variant 7,51513,0,0,TEL-2|TEL2|TELB,yes,11108721,Q9Y603,,
EWSR1,Ewing sarcoma breakpoint region 1,2130,289752,14030,EWS|BK984G1.4,yes,19305498,"B0QYK1,Q96MN4,Q01844",B1WC50,Q61545
FAM170A,"family with sequence similarity 170, member A",340069,498864,225497,ZNFD,yes,20162441,A1A519,,Q66LM6
FAM48A,suppressor of Ty 20 homolog (S. cerevisiae),55578,361946,56790,C13|C13ORF19|P38IP|SPT20|BA421P11.4,yes,12070015,Q8NEM7,Q66HC7,Q7TT00
FERD3L,Fer3-like (Drosophila),222894,366598,114712,N-TWIST|NATO3|NTWIST|BHLHA31,yes,12217327,Q96RJ6,D4A114,Q923Z4
FEV,FEV (ETS oncogene family),54738,246271,260298,HSRNAFEV|PET-1,yes,9468386,Q99581,O70132,Q8QZW2
FEZF1,FEZ family zinc finger 1,389549,500048,73191,FEZ|ZNF312B,yes,19318583,A0PJY2,D3ZPD6,Q0VDQ9
FEZF2,FEZ family zinc finger 2,55079,305719,54713,FEZ|FEZL|TOF|ZFP312|ZNF312,yes,20431123,Q8TBJ5,B4F7C0,Q9ESP5
FIGLA,folliculogenesis specific basic helix-loop-helix,344018,500239,26910,BHLHC8|FIGALPHA|POF6,yes,"9362457, 15044608",Q6QHK4,D4AD65,"O55208,H6UWL1"
FLI1,Friend leukemia virus integration 1,2313,315532,14247,EWSR2|SIC-1,yes,"1445800, 8449942, 8449942, 8502483, 12065417, 14570912","Q01543,B4DTC6,B4DFV4,G3V183",Q4Z8P1,"Q544B3,P26323"
FOS,FBJ murine osteosarcoma viral oncogene homolog,2353,314322,14281,AP-1|C-FOS|P55,yes,"8798512, 11925568, 15073183","P01100,Q6FG41",P12841,P01101
FOSB,FBJ murine osteosarcoma viral oncogene homolog B,2354,100360880,14282,AP-1|G0S3|GOS3|GOSB,yes,"2498083, 14515349, 16699069","E9PHJ3,A8VJE1,P53539",,"A2RSD4,P13346"
FOSL1,FOS-like antigen 1,8061,25445,14283,FRA|FRA1|FRA-1,yes,"7791782, 15608675",P15407,P10158,"Q3UMK5,P48755"
FOSL2,FOS-like antigen 2,2355,25446,14284,FRA2,yes,"13679379, 15558021","P15408,Q9H5M2","Q62738,P51145",P47930
FOXA1,forkhead box A1,3169,25098,15375,HNF3A|TCF3A,yes,"2227418, 15485926, 20018680",P55317,P23512,P35582
FOXA2,forkhead box A2,3170,25099,15376,HNF3B|TCF3B,yes,16847327,"Q9Y261,B0ZTD4",P32182,P35583
FOXA3,forkhead box A3,3171,25100,15377,FKHH3|HNF3G|TCF3G,yes,19919681,P55318,P32183,P35584
FOXB1,forkhead box B1,27023,367106,64290,FKH5|HFKH-5,yes,"10662642, 12297093",Q99853,Q5FVH9,Q64732
FOXB2,forkhead box B2,442425,691398,14240,BA159H20.4,yes,12297093,Q5VYV0,,"B9EII5,Q64733"
FOXC1,forkhead box C1,2296,364706,17300,ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3,yes,"12533514, 15684392",Q12948,,Q61572
FOXC2,"forkhead box C2 (MFH-1, mesenchyme forkhead 1)",2303,171356,14234,FKHL14|LD|MFH-1|MFH1,yes,20956529,Q99958,,"Q61850,B9EI61"
FOXD1,forkhead box D1,2297,171299,15229,FKHL8|FREAC4,yes,13678594,Q16676,,Q61345
FOXD2,forkhead box D2,2306,313504,17301,FKHL17|FREAC-9|FREAC9,yes,12621056,O60548,,O35392
FOXD3,forkhead box D3,27022,29203,15221,AIS1|GENESIS|HFH2|VAMAS2,yes,8139574,Q9UJU5,,"Q61060,A2BDY3"
FOXD4,forkhead box D4,2298,252886,14237,FKHL9|FOXD4A|FREAC-5|FREAC5,yes,"7957066, 17889656",Q12950,,Q60688
FOXD4L1,forkhead box D4-like 1,200350,0,0,FOXD5|BA395L14.1,yes,20650821,"B3KVK3,Q9NU39",,
FOXD4L3,forkhead box D4-like 3,286380,0,0,FOXD4L2|FOXD6,yes,15492844,Q6VB84,,
FOXD4L5,forkhead box D4-like 5,653427,0,0,BA15J10.2,yes,20081217,Q5VV16,,
FOXD4L6,forkhead box D4-like 6,653404,0,0,-,yes,20081217,Q3SYB3,,
FOXE1,forkhead box E1 (thyroid transcription factor 2),2304,192274,110805,FKHL15|FOXE2|HFKH4|HFKL5|TITF2|TTF-2|TTF2,yes,10465294,O00358,O08771,Q8R2I0
FOXE3,forkhead box E3,2301,171302,30923,FKHL12|FREAC8,yes,12882633,Q13461,G3V6Y8,"A2AD44,Q9QY14"
FOXF1,forkhead box F1,2294,246073,15227,ACDMPV|FKHL5|FREAC1,yes,"8626802, 8626802",Q12946,,Q61080
FOXF2,forkhead box F2,2295,0,14238,FKHL6|FREAC-2|FREAC2,yes,8626802,Q12947,,O54743
FOXG1,forkhead box G1,2290,24370,15228,BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN,yes,17889656,P55316,Q00939,"Q3V1Q8,Q60987"
FOXH1,forkhead box H1,8928,300054,14106,FAST-1|FAST1,yes,15982639,O75593,G3V7Y6,"Q0VEP8,O88621"
FOXI1,forkhead box I1,2299,287185,14233,FKH10|FKHL10|FREAC-6|FREAC6|HFH-3|HFH3,yes,9153225,"Q12951,E0XEN6",D4A7G2,Q922I5
FOXI2,forkhead box I2,399823,246073,270004,-,yes,16289364,Q6ZQN5,,"A2RTG9,Q3I5G5"
FOXJ1,forkhead box J1,2302,116557,15223,FKHL13|HFH-4|HFH4,yes,15516968,Q92949,Q63247,"Q640Q8,Q61660"
FOXJ2,forkhead box J2,55810,502886,60611,FHX,yes,10777590,Q9P0K8,D3Z992,Q9ES18
FOXJ3,forkhead box J3,22887,313554,230700,-,yes,17923097,Q9UPW0,D3ZDB6,Q8BUR3
FOXK1,forkhead box K1,221937,304298,17425,FOXK1L,yes,"8007964, 9271401",P85037,D3ZU55,P42128
FOXK2,forkhead box K2,3607,303753,68837,ILF|ILF-1|ILF1,yes,12402362,Q01167,,Q3UCQ1
FOXL1,forkhead box L1,2300,0,14241,FKH6|FKHL11|FREAC7,yes,7957066,"Q12952,Q498Y4",,Q64731
FOXL2,forkhead box L2,668,367152,26927,BPES|BPES1|PFRK|PINTO|POF3,yes,15059956,"Q53ZD3,P58012",D4A0S1,"Q2TVT7,O88470"
FOXM1,forkhead box M1,2305,58921,14235,FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TGT3|TRIDENT,yes,9108152,"Q53Y49,A8K591,Q08050",D3ZLE1,Q6P1H7
FOXN1,forkhead box N1,8456,287469,15218,FKHL20|RONU|WHN,yes,9108066,O15353,,"Q61575,Q5SYK1"
FOXN2,forkhead box N2,3344,301676,14236,HTLF,yes,17923097,P32314,,E9Q7L6
FOXN3,forkhead box N3,1112,314374,71375,C14ORF116|CHES1|PRO1635,yes,17923097,O00409,D3ZIJ7,Q499D0
FOXN4,forkhead box N4,121643,288736,116810,-,yes,17075007,"Q96NZ1,A6H901",,Q8K3Q3
FOXO1,forkhead box O1,2308,84482,56458,FKH1|FKHR|FOXO1A,yes,10385407,Q12778,G3V7R4,Q9R1E0
FOXO3,forkhead box O3,2309,294515,56484,AF6Q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A,yes,10102273,O43524,D3ZBQ1,Q9WVH4
FOXO4,forkhead box O4,4303,302415,54601,AFX|AFX1|MLLT7,yes,11777915,P98177,D4A433,"B1AUT3,Q9WVH3"
FOXO6,forkhead box O6,100132074,313558,329934,-,yes,15987244,,,Q70KY4
FOXP1,forkhead box P1,27086,297480,108655,12CC4|QRF1|HFKH1B,yes,18640093,"Q8NAN6,E9PFD3,G5E9V8,B3KV70,Q548T7,Q8N2P0,Q9H334,Q8TEA2",Q498D1,P58462
FOXP2,forkhead box P2,93986,500037,114142,CAGH44|SPCH1|TNRC10,yes,"11358962, 14701752","Q8N6B6,Q8N6B5,O15409,B7ZLK5",P0CF24,P58463
FOXP3,forkhead box P3,50943,317382,20371,AIID|DIETER|IPEX|PIDX|XPID,yes,17028180,Q9BZS1,D3ZKI1,"Q53Z59,Q99JB6"
FOXP4,forkhead box P4,116113,363185,74123,HFKHLA,yes,14701752,Q8IVH2,D3ZPZ7,Q9DBY0
FOXQ1,forkhead box Q1,94234,64826,15220,HFH1,yes,10896677,Q9C009,Q63244,O70220
FOXR1,forkhead box R1,283150,315601,382074,FOXN5,yes,17923097,Q6PIV2,,Q3UTB7
FOXR2,forkhead box R2,139628,302583,436240,FOXN6,yes,17923097,Q6PJQ5,D4ADV2,Q3UM89
FOXS1,forkhead box S1,2307,311547,14239,FKHL18|FREAC10,yes,18288644,O43638,Q5HZE9,"Q61574,Q4VA05"
FUBP1,far upstream element (FUSE) binding protein 1,8880,654496,51886,FBP|FUBP,yes,"19637194, 8125259",Q96AE4,Q32PX7,Q3TUE1
FUBP3,far upstream element (FUSE) binding protein 3,8939,362106,320267,FBP3,yes,19087307,Q96I24,Q2QC85,Q3TIX6
GABPA,"GA binding protein transcription factor, alpha subunit 60kDa",2551,363735,14390,E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07,yes,"10773883, 15361867","Q06546,Q8IYS3,A8IE48",D4ACQ9,Q00422
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,25172,14460,ERYF1|GATA-1|GF-1|GF1|NFE1|XLANP|XLTDA|XLTT,yes,"1650452, 2725678",P15976,P43429,P17679
GATA2,GATA binding protein 2,2624,25159,14461,DCML|MONOMAC|NFE1B,yes,"9565596, 14512418",P23769,"B2DBE1,Q924Y4","Q3U320,O09100"
GATA3,GATA binding protein 3,2625,85471,14462,HDR|HDRS,yes,8332492,P23771,Q99NH5,"P23772,Q3U0R5"
GATA4,GATA binding protein 4,2626,54254,14463,ASD2|VSD1,yes,8455608,P43694,P46152,"Q08369,B9EHF7,Q3UYJ1"
GATA5,GATA binding protein 5,140628,499951,14464,BB379O24.1,yes,"10212267, 11408257","Q9BWX5,D9ZGF7",Q5U2V0,P97489
GATA6,GATA binding protein 6,2627,29300,14465,-,yes,"14988427, 21076612","Q53EU2,Q92908",P46153,Q61169
GBX1,gastrulation brain homeobox 1,2636,246149,231044,-,yes,"16193514, 16193514",Q14549,,P82976
GBX2,gastrulation brain homeobox 2,2637,114500,14472,-,yes,10690529,P52951,G3V8J6,P48031
GCFC2,GC-rich sequence DNA-binding factor 2,6936,312474,330361,C2ORF3|DNABF|GCF|TCF9,yes,11432838,"A4UHQ8,P16383,B3KUM5,A4UHR0,Q9BVX3",D4A3Z4,Q8BKT3
GCM1,glial cells missing homolog 1 (Drosophila),8521,29394,14531,GCMA|HGCMA,yes,15385555,Q9NP62,Q9Z288,"P70348,Q3UQD1"
GFI1,growth factor independent 1 transcription repressor,2672,24388,14581,GFI-1|GFI1A|SCN2|ZNF163,yes,8754800,"B3KVN4,Q99684",Q07120,"P70338,H3BJM0"
GFI1B,growth factor independent 1B transcription repressor,8328,311832,14582,-,yes,"8754800, 22201127",Q5VTD9,B0BN50,"B7ZNH2,O70237"
GLI1,GLI family zinc finger 1,2735,140589,14632,GLI,yes,"10559945, 11719506","F5H6H8,B4DNF7,P08151",G3V6X8,P47806
GLI2,GLI family zinc finger 2,2736,304729,14633,HPE9|THP1|THP2,yes,21095584,"Q1PSW9,P10070,Q59FV5",,Q0VGT2
GLI3,GLI family zinc finger 3,2737,140588,14634,ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV,yes,"10433919, 16396903",P10071,,"B2RUG4,Q61602,Q3TYX7"
GLIS1,GLIS family zinc finger 1,148979,298732,230587,-,yes,12042312,Q8NBF1,,"A2A8S1,Q8K1M4"
GLIS2,GLIS family zinc finger 2,84662,302946,83396,NKL|NPHP7,yes,21127075,Q9BZE0,D3ZIA9,Q8VDL9
GLIS3,GLIS family zinc finger 3,169792,0,226075,ZNF515,yes,19264802,"Q1PHJ8,Q8NEA6",,Q0GE24
GMEB1,glucocorticoid modulatory element binding protein 1,10691,500558,56809,P96PIF|PIF96,yes,12702733,"B2RCN8,B1AT47,Q9Y692",Q9QUZ8,"Q3UYV4,Q9JL60"
GMEB2,glucocorticoid modulatory element binding protein 2,26205,83635,229004,P79PIF|PIF79,yes,"10894151, 14705952",Q9UKD1,O88873,"A2AS06,P58929"
GPER1,G protein-coupled estrogen receptor 1,2852,171104,76854,CEPR|CMKRL2| DRY12| FEG-1| GPCR-Br| GPER| GPR30| LERGU| LERGU2| LyGPR| mER,yes,23283935,,,
GRHL1,grainyhead-like 1 (Drosophila),29841,313993,195733,LBP32|MGR|NH32|TFCP2L2,yes,12175488,Q9NZI5,D3ZZW4,"E9QMF0,Q921D9"
GRHL2,grainyhead-like 2 (Drosophila),79977,299979,252973,BOM|DFNA28|TFCP2L3,yes,20978075,Q6ISB3,B5DEI9,Q8K5C0
GRHL3,grainyhead-like 3 (Drosophila),57822,298555,230824,SOM|TFCP2L4,yes,15831758,"B2RCL1,Q8TE85,A2A297,G3XAF0",D4A1E5,Q5FWH3
GSC,goosecoid homeobox,145258,317715,14836,-,yes,"9417125, 10542273",P56915,G3V7E7,Q02591
GSC2,goosecoid homeobox 2,2928,363831,195333,GSCL,yes,9700206,O15499,D3Z9R9,A2RTU1
GSX1,GS homeobox 1,219409,288457,14842,GSH1|GSH-1,yes,11731616,Q9H4S2,G3V634,"B2RQ55,P31315"
GSX2,GS homeobox 2,170825,364140,14843,GSH2,yes,7619729,"B2LYG3,Q9BZM3",B6RGM1,P31316
GZF1,GDNF-inducible zinc finger protein 1,64412,311508,74533,ZBTB23|ZNF336,yes,16049025,Q9H116,D3ZUU2,Q4VBD9
HAND1,heart and neural crest derivatives expressed 1,9421,59112,15110,HXT|THING1|BHLHA27|EHAND,yes,11802795,O96004,P97832,"Q64279,Q5SQG1"
HAND2,heart and neural crest derivatives expressed 2,9464,64637,15111,DHAND2|HED|THING2|BHLHA26|DHAND,yes,15139020,P61296,P61295,Q61039
HBP1,HMG-box transcription factor 1,26959,27080,73389,-,yes,15024088,"B4DJ36,O60381",Q62661,"Q8R316,E9Q1A8,E9Q469"
HCFC1,host cell factor C1 (VP16-accessory protein),3054,363519,15161,CFF|HCF-1|HCF1|HFC1|MRX3|VCAF,yes,18836447,P51610,D3ZN95,Q61191
HDAC5,histone deacetylase 5,10014,84580,15184,HD5|NY-CO-9,yes,20181743,Q9UQL6,,"Q3UJF1,Q6P9T4"
HDGF,hepatoma-derived growth factor,3068,114499,15191,HMG1L2,yes,17974029,"Q5SZ08,Q5SZ07,P51858",Q8VHK7,P51859
HELT,helt bHLH transcription factor,391723,498633,234219,HCM1228|HESL|MGN|BHLHB44,yes,14764602,A6NFD8,D4ADJ5,Q7TS99
HES1,"hairy and enhancer of split 1, (Drosophila)",3280,29577,15205,HES-1|HHL|HRY|BHLHB39,yes,"15467735, 21106062",Q14469,Q04666,"Q3UZZ2,P35428"
HES2,hairy and enhancer of split 2 (Drosophila),54626,29567,15206,BHLHB40,yes,8354270,Q9Y543,P35429,O54792
HES3,hairy and enhancer of split 3 (Drosophila),390992,64628,15207,BHLHB43,yes,10858455,Q5TGS1,Q04667,Q61657
HES4,hairy and enhancer of split 4 (Drosophila),57801,0,0,BHLHB42,yes,"17611704, 11260262","E9PB28,Q9HCC6",,
HES5,hairy and enhancer of split 5 (Drosophila),388585,79225,15208,BHLHB38,yes,10804175,Q5TA89,Q03062,"Q499J8,P70120"
HES6,hairy and enhancer of split 6 (Drosophila),55502,316626,55927,HES-6|BHLHB41|BHLHC23,yes,18160400,Q96HZ4,Q5PPN0,Q9JHE6
HES7,hairy and enhancer of split 7 (Drosophila),84667,287423,84653,SCDO4|BHLHB37,yes,11260262,"F8VPC9,Q9BYE0",D3ZV20,Q8BKT2
HESX1,HESX homeobox 1,8820,498575,15209,ANF|CPHD5|RPX,yes,"9620767, 11748154, 12063185",Q9UBX0,D4AEG9,Q61658
HEY1,hairy/enhancer-of-split related with YRPW motif 1,23462,155437,15213,BHLHB31|CHF2|HERP2|HESR1|HRT-1|OAF1,yes,16199874,Q9Y5J3,D3ZNI5,Q9QUM5
HEY2,hairy/enhancer-of-split related with YRPW motif 2,23493,155430,15214,CHF1|GRIDLOCK|GRL|HERP1|HESR2|HRT2|BHLHB32,yes,11486045,Q9UBP5,G3V7S6,"Q9QUS4,Q0VGJ1"
HEYL,hairy/enhancer-of-split related with YRPW motif-like,26508,313575,56198,HEY3|HRT3|BHLHB33,yes,21259317,Q9NQ87,D3ZIH3,Q9DBX7
HHEX,hematopoietically expressed homeobox,3087,79237,15242,HEX|HMPH|HOX11L-PEN|PRH|PRHX,yes,"10871399, 18755198",Q03014,Q9WV22,P43120
HIC1,hypermethylated in cancer 1,3090,303310,15248,ZBTB29|ZNF901|HIC-1,yes,15231840,"A0PJI1,Q14526",,Q9R1Y5
HIC2,hypermethylated in cancer 2,23119,287940,58180,HRG22|ZBTB30|ZNF907,yes,11554746,Q96JB3,D4A9X7,Q9JLZ6
HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",3091,29560,15251,HIF-1A|HIF-1ALPHA|HIF1|HIF1-ALPHA|MOP1|PASD8|BHLHE78,yes,"15111179, 20427574","Q16665,D0VY79,C0LZJ3",O35800,"Q3UCW2,Q61221"
HIF3A,"hypoxia inducible factor 3, alpha subunit",64344,64345,53417,HIF-3A|IPAS|MOP7|PASD7|BHLHE17,yes,21479871,"B2RBI6,Q9Y2N7",Q9JHS2,"E9Q6J3,Q0VBL6"
HINFP,histone H4 transcription factor,25988,300665,102423,HINF-P|MIZF|ZNF743,yes,14752047,"B4DWB4,E9PQF4,Q9BQA5",,Q8K1K9
HIVEP1,human immunodeficiency virus type I enhancer binding protein 1,3096,117140,110521,CIRIP|CRYBP1|MBP-1|PRDII-BF1|SCHNURRI-1|ZAS1|ZNF40|ZNF40A,yes,2504707,P15822,,F8VPM9
HIVEP2,human immunodeficiency virus type I enhancer binding protein 2,3097,29721,15273,HIV-EP2|MBP-2|MIBP1|SHN2|ZAS2|ZNF40B,yes,10207097,P31629,Q00900,Q3UHF7
HIVEP3,human immunodeficiency virus type I enhancer binding protein 3,59269,313557,16656,KBP-1|KBP1|KRC|SHN3|SCHNURRI-3|ZAS3|ZNF40C,yes,21189157,Q5T1R4,D3ZRB5,A2A884
HLF,hepatic leukemia factor,3131,363667,217082,-,yes,8065331,"Q6FHS9,Q16534",,"Q5SVU4,Q8BW74"
HLTF,helicase-like transcription factor,6596,295568,20585,HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1,yes,9427542,"Q05BZ6,Q14527",D3ZMQ9,Q6PCN7
HLX,H2.0-like homeobox,3142,364069,15284,HB24|HLX1,yes,20008130,Q14774,A0JPN1,"Q80YV1,Q6P3B7,Q61670,Q549B7"
HMBOX1,homeobox containing 1,79618,305968,219150,HNF1LA|PBHNF,yes,21839858,Q6NT76,,Q8BJA3
HMG20A,high mobility group 20A,10363,315689,66867,HMGX1|HMGXB1,yes,10773667,Q9NP66,D3Z937,Q9DC33
HMGA1,high mobility group AT-hook 1,3159,117062,15361,HMG-R|HMGA1A|HMGIY,yes,19223528,"Q5T6U8,P17096",Q8K585,"Q3TVP0,Q566K0,P17095,Q3TE85"
HMGA2,high mobility group AT-hook 2,8091,84017,15364,BABL|HMGI-C|HMGIC|LIPO|STQTL9,yes,17914116,P52926,O88791,P52927
HMGB1P1,high mobility group box 1 pseudogene 1,10357,679571,434174,HMG1L1|HMG1L7|HMGB1L1|DJ579F20.1,yes,20081217,,D3ZCR3,
HMX1,H6 family homeobox 1,3166,360960,15371,H6|NKX5-3,yes,10206974,Q9NP08,,O70218
HMX3,H6 family homeobox 3,340784,293537,15373,NKX-5.1|NKX5.1|NKX5-1,yes,10206974,A6NHT5,D4A585,P42581
HNF1A,HNF1 homeobox A,6927,24817,21405,HNF-1A|HNF1|IDDM20|LFB1|MODY3|TCF-1|TCF1,yes,"8373770, 9047360",P20823,P15257,"P22361,Q66JY7"
HNF1B,HNF1 homeobox B,6928,25640,21410,FJHN|HNF-1B|HNF1BETA|HNF2|HPC11|LF-B3|LFB3|MODY5|TCF-2|TCF2|VHNF1,yes,9774468,"Q6FHW6,E0YMJ6,P35680",P23899,"P27889,Q5SS49"
HNF4A,"hepatocyte nuclear factor 4, alpha",3172,25735,15378,HNF4|HNF4A7|HNF4A8|HNF4A9|HNF4ALPHA|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14,yes,15581617,"F1D8T0,P41235,F1D8T1,F1D8S2,Q5QPB7",G3V750,P49698
HNF4G,"hepatocyte nuclear factor 4, gamma",3174,365744,30942,NR2A2|NR2A3,yes,12220531,"F1D8Q4,Q14541",,"Q059V1,Q9WUU6,Q3UP48"
HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,3182,83498,15384,ABBP1|HNRPAB,yes,"1398104, 1398104, 11154060",Q99729,Q9QX80,"Q544Z3,Q99020,Q20BD0"
HNRNPK,heterogeneous nuclear ribonucleoprotein K,3190,117282,15387,CSBP|HNRPK|TUNP,yes,20371611,"P61978,Q6IBN1",P61980,P61979
HOMEZ,homeobox and leucine zipper encoding,57594,260325,239099,KIAA1443,yes,12925734,Q8IX15,Q5XFX1,Q80W88
HOXA1,homeobox A1,3198,25607,15394,BSAS|HOX1|HOX1F,yes,9733765,P49639,O08656,"Q8BNI8,B9EHK7"
HOXA10,homeobox A10,3206,368057,15395,HOX1|HOX1.8|HOX1H|PL,yes,15886193,P31260,G3V6Z0,P31310
HOXA11,homeobox A11,3207,368057,15396,HOX1|HOX1I,yes,9079637,P31270,G3V6Z0,P31311
HOXA13,homeobox A13,3209,500129,15398,HOX1|HOX1J,yes,21829694,"P31271,Q6DI00",D3ZQ69,Q62424
HOXA2,homeobox A2,3199,24452,15399,HOX1K,yes,15634706,O43364,"G3V6R6,P31246",P31245
HOXA3,homeobox A3,3200,500125,15400,HOX1|HOX1E,yes,8096059,"A4D182,O43365,B3KPN8",D3ZM81,P02831
HOXA4,homeobox A4,3201,24453,15401,HOX1|HOX1D,yes,7901228,Q00056,,P06798
HOXA5,homeobox A5,3202,79241,15402,HOX1|HOX1.3|HOX1C,yes,10879542,P20719,G3V6T2,P09021
HOXA6,homeobox A6,3203,685732,15403,HOX1|HOX1.2|HOX1B,yes,9247466,P31267,G3V6T4,"P09092,Q0VEU7"
HOXA7,homeobox A7,3204,500126,15404,ANTP|HOX1|HOX1.1|HOX1A,yes,18973687,P31268,F1LMS8,P02830
HOXA9,homeobox A9,3205,500126,15405,ABD-B|HOX1|HOX1.7|HOX1G,yes,17327400,P31269,F1LMS8,P09631
HOXB1,homeobox B1,3211,303491,15407,HCFP3|HOX2|HOX2I|HOX-2.9,yes,"7911971, 9242495",P14653,G3V737,"P17919,B1ARQ3"
HOXB13,homeobox B13,10481,303480,15408,PSGD,yes,15126340,"Q92826,Q4KR72",D3ZWL5,"A2A9Z4,P70321"
HOXB2,homeobox B2,3212,100361765,103889,HOX2|HOX2H|HOX-2.8|K8,yes,15289435,P14652,,P0C1T1
HOXB3,homeobox B3,3213,303488,15410,HOX2|HOX2G|HOX-2.7,yes,"9556594, 12482716","B3KNJ7,P14651",,"B1ARQ2,P09026"
HOXB4,homeobox B4,3214,497988,15412,HOX-2.6|HOX2|HOX2F,yes,"12482716, 12489992, 15634700",P17483,B1WBS2,"P10284,B1ARQ1"
HOXB5,homeobox B5,3215,497987,15413,HHO.C10|HOX2|HOX2A|HU-1|HOX2.1,yes,12897140,P09067,D3ZMA1,"A2AA01,P09079"
HOXB6,homeobox B6,3216,497986,15414,HOX2|HOX2B|HU-2|HOX-2.2,yes,15269212,P17509,D3ZLU8,"P09023,A2AA00"
HOXB7,homeobox B7,3217,497985,15415,HHO.C1|HOX2|HOX2C|HOX-2.3,yes,8756643,P09629,P18864,P09024
HOXB8,homeobox B8,3218,24457,15416,HOX2|HOX2D|HOX-2.4,yes,"11571641, 15886193","Q8N8T3,P17481",G3V6Y1,"P09632,A2A9Z8"
HOXB9,homeobox B9,3219,287647,15417,HOX-2.5|HOX2|HOX2E,yes,"9079637, 11432851","B3KPJ1,P17482",,P20615
HOXC10,homeobox C10,3226,315338,209448,HOX3I,yes,10835276,"Q9NYD6,Q53XI4",G3V815,"Q8BZY5,P31257"
HOXC11,homeobox C11,3227,366996,109663,HOX3H,yes,9582375,O43248,,P31313
HOXC13,homeobox C13,3229,315337,15422,HOX3|HOX3G,yes,11714694,P31276,D3ZKV8,P50207
HOXC4,homeobox C4,3221,24459,15423,HOX3|HOX3E|CP19,yes,15252056,"Q86TF7,P09017",D3ZK87,Q08624
HOXC5,homeobox C5,3222,315341,15424,CP11|HOX3|HOX3D,yes,21676974,Q00444,D3ZP88,P32043
HOXC6,homeobox C6,3223,252885,15425,CP25|HHO.C8|HOX3|HOX3C,yes,"8393570, 8870653",P09630,G3V841,"Q543H4,P10629,B2RUB8"
HOXC8,homeobox C8,3224,24460,15426,HOX3|HOX3A,yes,"11139569, 15699330, 7911971",P31273,F1MAK7,P09025
